# Nintendo Game Boy-family cartridge label-code catalogue
# Source: Game Boy hardware database by Gekkio and contributors
# Source URL: https://gbhwdb.gekkio.fi/static/export/cartridges.csv
# Retrieved: 2026-08-02
# Source SHA-256: 007ea8d8ac02448764b75eda7057314c952f19b7d0654d473cb3877c8e54e18f
# Changes: selected cartridge label code, ROM ID, game title, normalized release regions, and explicit game-language groups; removed duplicate observations; sorted
# License: CC-BY-SA-4.0; see README.md beside this resource
cartridge_code	rom_id	title	release_regions	game_languages
AGB-A2CP-EUR	AGB-A2CP-0	Castlevania - Aria of Sorrow (Europe) (En,Fr,De)	EUR	en,fr,de
AGB-A2NP-FAH	AGB-A2NP-0	Sonic Advance 2 (Europe) (En,Ja,Fr,De,Es,It)	EUR	en,ja,fr,de,es,it
AGB-A3AP-EUR	AGB-A3AP-0	Super Mario Advance 3 - Yoshi's Island (Europe) (En,Fr,De,Es,It)	EUR	en,fr,de,es,it
AGB-A5AP-EUR	AGB-A5AP-0	Bionicle - Matoran Adventures (USA, Europe) (En,Fr,De,Es,It,Nl,Sv,Da)	US,EUR	en,fr,de,es,it,nl,sv,da
AGB-A7HJ-JPN	AGB-A7HJ-0	Harry Potter to Himitsu no Heya (Japan)	JP	
AGB-A7KE-USA	AGB-A7KE-0	Kirby - Nightmare in Dream Land (USA)	US	
AGB-A7KP-EUR	AGB-A7KP-0	Kirby - Nightmare in Dream Land (Europe) (En,Fr,De,Es,It)	EUR	en,fr,de,es,it
AGB-A88P-EUR	AGB-A88P-0	Mario & Luigi - Superstar Saga (Europe) (En,Fr,De,Es,It)	EUR	en,fr,de,es,it
AGB-AA2P-EUR	AGB-AA2P-0	Super Mario Advance 2 - Super Mario World (Europe) (En,Fr,De,Es)	EUR	en,fr,de,es
AGB-AAMP-EUR-1	AGB-AAMP-0	Castlevania (Europe)	EUR	
AGB-AF5P-EUR	AGB-AF5P-0	Shining Force - Resurrection of the Dark Dragon (Europe) (En,Fr,De,Es,It)	EUR	en,fr,de,es,it
AGB-AFGP-EUR	AGB-AFGP-0	American Tail, An - Fievel's Gold Rush (Europe) (En,Fr,De,Es,It)	EUR	en,fr,de,es,it
AGB-AFTP-UKV	AGB-AFTP-0	F-14 Tomcat (USA, Europe)	US,EUR	
AGB-AFZP-EUR	AGB-AFZP-0	F-Zero - Maximum Velocity (USA, Europe)	US,EUR	
AGB-AGAP-EUR	AGB-AGAP-0	Gradius Advance (Europe)	EUR	
AGB-AGFF-FRA	AGB-AGFF-0	Golden Sun - L'Age Perdu (France)	FR	
AGB-AGPP-EUR	AGB-AGPP-0	No Rules - Get Phat (USA, Europe) (En,Fr,De,Es,It,Nl)	US,EUR	en,fr,de,es,it,nl
AGB-AGSF-FRA	AGB-AGSF-0	Golden Sun (France)	FR	
AGB-AH3P-EUR	AGB-AH3P-0	Hamtaro - Ham-Ham Heartbreak (Europe) (En,Fr,De,Es,It)	EUR	en,fr,de,es,it
AGB-AK8P-EUR	AGB-AK8P-0	Medabots AX - Metabee Ver. (Europe) (En,Fr,De,Es,It)	EUR	en,fr,de,es,it
AGB-AM8P-EUR	AGB-AM8P-0	Monster Force (Europe) (En,Fr,De,Es,It)	EUR	en,fr,de,es,it
AGB-AMAP-EUR-1	AGB-AMAP-0	Super Mario Advance (USA, Europe)	US,EUR	
AGB-AMKE-USA	AGB-AMKE-0	Mario Kart - Super Circuit (USA)	US	
AGB-AMKP-EUR	AGB-AMKP-0	Mario Kart - Super Circuit (Europe)	EUR	
AGB-AN8P-EUR	AGB-AN8P-0	Tales of Phantasia (Europe) (En,Fr,De,Es,It)	EUR	en,fr,de,es,it
AGB-AO4P-EUR	AGB-AO4P-0	Tom Clancy's Splinter Cell (Europe) (En,Fr,De,Es,It,Nl)	EUR	en,fr,de,es,it,nl
AGB-APXP-EUR	AGB-APXP-0	Phalanx (Europe) (En,Fr,De,Es,It,Nl)	EUR	en,fr,de,es,it,nl
